model,seed,fold,spearman,kendall,mae,rmse,r2,best
LightGBM,0,1,0.9127579737335836,0.7282051282051283,0.710757200730054,0.8602243342337526,0.8634202077728083,"{""m__colsample_bytree"": 0.6, ""m__learning_rate"": 0.05, ""m__min_child_samples"": 15, ""m__n_estimators"": 200, ""m__num_leaves"": 7, ""m__reg_lambda"": 1.0}"
LightGBM,0,2,0.8949343339587243,0.7076923076923077,0.9143358151348078,1.1901006224889505,0.7726695462492617,"{""m__colsample_bytree"": 0.6, ""m__learning_rate"": 0.05, ""m__min_child_samples"": 5, ""m__n_estimators"": 200, ""m__num_leaves"": 15, ""m__reg_lambda"": 1.0}"
LightGBM,0,3,0.901688555347092,0.7435897435897436,0.9540972966600432,1.2610634403035779,0.7541761309043997,"{""m__colsample_bytree"": 0.6, ""m__learning_rate"": 0.02, ""m__min_child_samples"": 5, ""m__n_estimators"": 400, ""m__num_leaves"": 7, ""m__reg_lambda"": 1.0}"
LightGBM,0,4,0.8574108818011259,0.6923076923076924,1.0697947163102155,1.2783567969527598,0.7315238541165954,"{""m__colsample_bytree"": 0.6, ""m__learning_rate"": 0.05, ""m__min_child_samples"": 5, ""m__n_estimators"": 200, ""m__num_leaves"": 7, ""m__reg_lambda"": 1.0}"
LightGBM,1,0,0.877861163227017,0.7205128205128206,0.8357509303206397,1.0694777287889148,0.8042086112895069,"{""m__colsample_bytree"": 0.6, ""m__learning_rate"": 0.02, ""m__min_child_samples"": 5, ""m__n_estimators"": 400, ""m__num_leaves"": 7, ""m__reg_lambda"": 1.0}"
LightGBM,1,1,0.8652908067542214,0.6717948717948719,1.0292010372300902,1.2261321737172164,0.7511194451096905,"{""m__colsample_bytree"": 0.6, ""m__learning_rate"": 0.02, ""m__min_child_samples"": 5, ""m__n_estimators"": 400, ""m__num_leaves"": 7, ""m__reg_lambda"": 1.0}"
LightGBM,1,2,0.8763602251407131,0.6743589743589744,1.064959184675427,1.3384357258021211,0.7289944218836002,"{""m__colsample_bytree"": 0.6, ""m__learning_rate"": 0.05, ""m__min_child_samples"": 5, ""m__n_estimators"": 200, ""m__num_leaves"": 7, ""m__reg_lambda"": 1.0}"
LightGBM,1,3,0.8320825515947469,0.6538461538461539,1.0679428472737436,1.357035483673861,0.7066111407923095,"{""m__colsample_bytree"": 0.6, ""m__learning_rate"": 0.05, ""m__min_child_samples"": 15, ""m__n_estimators"": 400, ""m__num_leaves"": 7, ""m__reg_lambda"": 1.0}"
LightGBM,1,4,0.9166979362101316,0.7564102564102565,0.7342959033215959,1.0011931396104947,0.8203786778883901,"{""m__colsample_bytree"": 0.6, ""m__learning_rate"": 0.02, ""m__min_child_samples"": 5, ""m__n_estimators"": 400, ""m__num_leaves"": 7, ""m__reg_lambda"": 10.0}"
LightGBM,2,0,0.8592870544090058,0.6717948717948719,0.8986619187871672,1.2284505241382093,0.7203790958522152,"{""m__colsample_bytree"": 0.6, ""m__learning_rate"": 0.05, ""m__min_child_samples"": 5, ""m__n_estimators"": 400, ""m__num_leaves"": 7, ""m__reg_lambda"": 1.0}"
LightGBM,2,1,0.9157598499061914,0.7641025641025642,0.7850929005220373,0.9702580845391496,0.8343559701636563,"{""m__colsample_bytree"": 0.6, ""m__learning_rate"": 0.02, ""m__min_child_samples"": 5, ""m__n_estimators"": 400, ""m__num_leaves"": 7, ""m__reg_lambda"": 1.0}"
LightGBM,2,2,0.8887429643527206,0.7025641025641026,0.9303466578120567,1.1670603901887748,0.7902687305349049,"{""m__colsample_bytree"": 0.6, ""m__learning_rate"": 0.05, ""m__min_child_samples"": 5, ""m__n_estimators"": 400, ""m__num_leaves"": 7, ""m__reg_lambda"": 1.0}"
LightGBM,2,3,0.8971857410881803,0.7102564102564103,1.0576786365132267,1.2401784687996131,0.7626849293275897,"{""m__colsample_bytree"": 0.6, ""m__learning_rate"": 0.02, ""m__min_child_samples"": 5, ""m__n_estimators"": 400, ""m__num_leaves"": 7, ""m__reg_lambda"": 1.0}"
LightGBM,2,4,0.8848030018761728,0.7025641025641026,0.904399854538098,1.140060940902872,0.7932891441345704,"{""m__colsample_bytree"": 0.6, ""m__learning_rate"": 0.02, ""m__min_child_samples"": 5, ""m__n_estimators"": 400, ""m__num_leaves"": 7, ""m__reg_lambda"": 1.0}"
